python version,line_number,status,error message
5,100,0,
6,100,0,
7,100,-2,invalid syntax
8,100,-2,invalid syntax
9,100,-2,invalid syntax
10,100,-2,invalid syntax
11,100,-2,invalid syntax
12,100,-2,invalid syntax
13,100,-2,invalid syntax
5,104,0,
6,104,0,
7,104,-2,invalid syntax
8,104,-2,invalid syntax
9,104,-2,invalid syntax
10,104,-2,invalid syntax
11,104,-2,invalid syntax
12,104,-2,invalid syntax
13,104,-2,invalid syntax
5,105,0,
6,105,0,
7,105,-2,invalid syntax
8,105,-2,invalid syntax
9,105,-2,invalid syntax
10,105,-2,invalid syntax
11,105,-2,invalid syntax
12,105,-2,invalid syntax
13,105,-2,invalid syntax
5,111,0,
6,111,0,
7,111,-2,invalid syntax
8,111,-2,invalid syntax
9,111,-2,invalid syntax
10,111,-2,invalid syntax
11,111,-2,invalid syntax
12,111,-2,invalid syntax
13,111,-2,invalid syntax
5,115,0,
6,115,0,
7,115,-2,invalid syntax
8,115,-2,invalid syntax
9,115,-2,invalid syntax
10,115,-2,invalid syntax
11,115,-2,invalid syntax
12,115,-2,invalid syntax
13,115,-2,invalid syntax
5,116,0,
6,116,0,
7,116,-2,invalid syntax
8,116,-2,invalid syntax
9,116,-2,invalid syntax
10,116,-2,invalid syntax
11,116,-2,invalid syntax
12,116,-2,invalid syntax
13,116,-2,invalid syntax
5,122,0,
6,122,0,
7,122,-2,invalid syntax
8,122,-2,invalid syntax
9,122,-2,invalid syntax
10,122,-2,invalid syntax
11,122,-2,invalid syntax
12,122,-2,invalid syntax
13,122,-2,invalid syntax
5,127,0,
6,127,0,
7,127,-2,invalid syntax
8,127,-2,invalid syntax
9,127,-2,invalid syntax
10,127,-2,invalid syntax
11,127,-2,invalid syntax
12,127,-2,invalid syntax
13,127,-2,invalid syntax
5,128,0,
6,128,0,
7,128,-2,invalid syntax
8,128,-2,invalid syntax
9,128,-2,invalid syntax
10,128,-2,invalid syntax
11,128,-2,invalid syntax
12,128,-2,invalid syntax
13,128,-2,invalid syntax
5,13,0,
6,13,0,
7,13,-2,invalid syntax
8,13,-2,invalid syntax
9,13,-2,invalid syntax
10,13,-2,invalid syntax
11,13,-2,invalid syntax
12,13,-2,invalid syntax
13,13,-2,invalid syntax
5,134,0,
6,134,0,
7,134,-2,invalid syntax
8,134,-2,invalid syntax
9,134,-2,invalid syntax
10,134,-2,invalid syntax
11,134,-2,invalid syntax
12,134,-2,invalid syntax
13,134,-2,invalid syntax
5,138,0,
6,138,0,
7,138,-2,invalid syntax
8,138,-2,invalid syntax
9,138,-2,invalid syntax
10,138,-2,invalid syntax
11,138,-2,invalid syntax
12,138,-2,invalid syntax
13,138,-2,invalid syntax
5,139,0,
6,139,0,
7,139,-2,invalid syntax
8,139,-2,invalid syntax
9,139,-2,invalid syntax
10,139,-2,invalid syntax
11,139,-2,invalid syntax
12,139,-2,invalid syntax
13,139,-2,invalid syntax
5,145,0,
6,145,0,
7,145,-2,invalid syntax
8,145,-2,invalid syntax
9,145,-2,invalid syntax
10,145,-2,invalid syntax
11,145,-2,invalid syntax
12,145,-2,invalid syntax
13,145,-2,invalid syntax
,150,-,didnt run
,158,-,didnt run
5,163,0,
6,163,0,
7,163,-2,invalid syntax
8,163,-2,invalid syntax
9,163,-2,invalid syntax
10,163,-2,invalid syntax
11,163,-2,invalid syntax
12,163,-2,invalid syntax
13,163,-2,invalid syntax
5,164,-2,results are diffrent
6,164,-2,results are diffrent
7,164,-2,invalid syntax
8,164,-2,invalid syntax
9,164,-2,invalid syntax
10,164,-2,invalid syntax
11,164,-2,invalid syntax
12,164,-2,invalid syntax
13,164,-2,invalid syntax
5,17,0,
6,17,0,
7,17,-2,invalid syntax
8,17,-2,invalid syntax
9,17,-2,invalid syntax
10,17,-2,invalid syntax
11,17,-2,invalid syntax
12,17,-2,invalid syntax
13,17,-2,invalid syntax
5,18,0,
6,18,0,
7,18,-2,invalid syntax
8,18,-2,invalid syntax
9,18,-2,invalid syntax
10,18,-2,invalid syntax
11,18,-2,invalid syntax
12,18,-2,invalid syntax
13,18,-2,invalid syntax
5,181,0,
6,181,0,
7,181,-2,invalid syntax
8,181,-2,invalid syntax
9,181,-2,invalid syntax
10,181,-2,invalid syntax
11,181,-2,invalid syntax
12,181,-2,invalid syntax
13,181,-2,invalid syntax
5,185,0,
6,185,0,
7,185,-2,invalid syntax
8,185,-2,invalid syntax
9,185,-2,invalid syntax
10,185,-2,invalid syntax
11,185,-2,invalid syntax
12,185,-2,invalid syntax
13,185,-2,invalid syntax
5,186,0,
6,186,0,
7,186,-2,invalid syntax
8,186,-2,invalid syntax
9,186,-2,invalid syntax
10,186,-2,invalid syntax
11,186,-2,invalid syntax
12,186,-2,invalid syntax
13,186,-2,invalid syntax
5,206,0,
6,206,0,
7,206,-2,invalid syntax
8,206,-2,invalid syntax
9,206,-2,invalid syntax
10,206,-2,invalid syntax
11,206,-2,invalid syntax
12,206,-2,invalid syntax
13,206,-2,invalid syntax
5,210,0,
6,210,0,
7,210,-2,invalid syntax
8,210,-2,invalid syntax
9,210,-2,invalid syntax
10,210,-2,invalid syntax
11,210,-2,invalid syntax
12,210,-2,invalid syntax
13,210,-2,invalid syntax
5,211,0,
6,211,0,
7,211,-2,invalid syntax
8,211,-2,invalid syntax
9,211,-2,invalid syntax
10,211,-2,invalid syntax
11,211,-2,invalid syntax
12,211,-2,invalid syntax
13,211,-2,invalid syntax
5,212,0,
6,212,0,
7,212,-2,invalid syntax
8,212,-2,invalid syntax
9,212,-2,invalid syntax
10,212,-2,invalid syntax
11,212,-2,invalid syntax
12,212,-2,invalid syntax
13,212,-2,invalid syntax
5,213,0,
6,213,0,
7,213,-2,invalid syntax
8,213,-2,invalid syntax
9,213,-2,invalid syntax
10,213,-2,invalid syntax
11,213,-2,invalid syntax
12,213,-2,invalid syntax
13,213,-2,invalid syntax
5,214,0,
6,214,0,
7,214,-2,invalid syntax
8,214,-2,invalid syntax
9,214,-2,invalid syntax
10,214,-2,invalid syntax
11,214,-2,invalid syntax
12,214,-2,invalid syntax
13,214,-2,invalid syntax
5,215,0,
6,215,0,
7,215,-2,invalid syntax
8,215,-2,invalid syntax
9,215,-2,invalid syntax
10,215,-2,invalid syntax
11,215,-2,invalid syntax
12,215,-2,invalid syntax
