python version,line_number,status,error message
5,12,0,
6,12,0,
7,12,0,
8,12,0,
9,12,-1,Deprecation Warning
10,12,-1,Deprecation Warning
11,12,-2,has not the attribute
12,12,-2,has not the attribute
13,12,-2,has not the attribute
5,13,0,
6,13,0,
7,13,0,
8,13,0,
9,13,0,
10,13,0,
11,13,0,
12,13,0,
13,13,0,
5,16,0,
6,16,0,
7,16,0,
8,16,0,
9,16,-1,Deprecation Warning
10,16,-1,Deprecation Warning
11,16,-2,has not the attribute
12,16,-2,has not the attribute
13,16,-2,has not the attribute
5,17,0,
6,17,0,
7,17,0,
8,17,0,
9,17,0,
10,17,0,
11,17,0,
12,17,0,
13,17,0,
5,20,0,
6,20,0,
7,20,0,
8,20,0,
9,20,0,
10,20,0,
11,20,0,
12,20,0,
13,20,0,
5,23,0,
6,23,0,
7,23,0,
8,23,0,
9,23,0,
10,23,0,
11,23,0,
12,23,0,
13,23,0,
5,26,0,
6,26,0,
7,26,0,
8,26,0,
9,26,0,
10,26,0,
11,26,0,
12,26,0,
13,26,0,
5,27,0,
6,27,0,
7,27,0,
8,27,0,
9,27,0,
10,27,0,
11,27,0,
12,27,0,
13,27,0,
5,28,0,
6,28,0,
7,28,0,
8,28,0,
9,28,0,
10,28,0,
11,28,0,
12,28,0,
13,28,0,
5,31,0,
6,31,0,
7,31,0,
8,31,0,
9,31,0,
10,31,0,
11,31,0,
12,31,0,
13,31,0,
5,34,0,
6,34,0,
7,34,0,
8,34,0,
9,34,0,
10,34,0,
11,34,0,
12,34,0,
13,34,0,
5,37,0,
6,37,0,
7,37,0,
8,37,0,
9,37,0,
10,37,0,
11,37,0,
12,37,0,
13,37,0,
5,40,0,
6,40,0,
7,40,0,
8,40,0,
9,40,0,
10,40,0,
11,40,0,
12,40,0,
13,40,0,
5,43,0,
6,43,0,
7,43,0,
8,43,0,
9,43,0,
10,43,0,
11,43,0,
12,43,0,
13,43,0,
5,44,0,
6,44,0,
7,44,0,
8,44,0,
9,44,0,
10,44,0,
11,44,0,
12,44,0,
13,44,0,
5,47,0,
6,47,0,
7,47,0,
8,47,0,
9,47,0,
10,47,0,
11,47,0,
12,47,0,
13,47,0,
5,48,0,
6,48,0,
7,48,0,
8,48,0,
9,48,0,
10,48,0,
11,48,0,
12,48,0,
13,48,0,
5,51,0,
6,51,0,
7,51,0,
8,51,0,
9,51,0,
10,51,0,
11,51,0,
12,51,0,
13,51,0,
5,54,0,
6,54,0,
7,54,0,
8,54,0,
9,54,0,
10,54,0,
11,54,0,
12,54,0,
13,54,0,
5,61,0,
6,61,0,
7,61,0,
8,61,0,
9,61,0,
10,61,0,
11,61,0,
12,61,0,
13,61,0,
5,64,0,
6,64,0,
7,64,0,
8,64,0,
9,64,0,
10,64,0,
11,64,0,
12,64,0,
13,64,0,
5,68,0,
6,68,0,
7,68,0,
8,68,0,
9,68,0,
10,68,0,
11,68,0,
12,68,0,
13,68,0,
,70,-,didnt run
5,73,0,
6,73,0,
7,73,0,
8,73,0,
9,73,0,
10,73,0,
11,73,0,
12,73,0,
13,73,0,
5,76,0,
6,76,0,
7,76,0,
8,76,0,
9,76,0,
10,76,0,
11,76,0,
12,76,0,
13,76,0,
5,79,-2,invalid syntax
6,79,0,
7,79,0,
8,79,0,
9,79,0,
10,79,0,
11,79,0,
12,79,0,
13,79,0,
5,82,0,
6,82,0,
7,82,0,
8,82,0,
9,82,0,
10,82,0,
11,82,0,
12,82,0,
13,82,0,
5,85,0,
6,85,0,
7,85,0,
8,85,0,
9,85,0,
10,85,0,
11,85,0,
12,85,0,
13,85,0,
5,86,0,
6,86,0,
7,86,0,
8,86,0,
9,86,0,
10,86,0,
11,86,0,
12,86,0,
13,86,0,
5,9,0,
6,9,0,
7,9,0,
8,9,0,
9,9,0,
10,9,0,
11,9,0,
12,9,0,
13,9,0,
