python version,line_number,status,error message
5,11,0,
6,11,0,
7,11,0,
8,11,0,
9,11,0,
10,11,0,
11,11,0,
12,11,0,
13,11,0,
5,12,0,
6,12,0,
7,12,0,
8,12,0,
9,12,0,
10,12,0,
11,12,0,
12,12,0,
13,12,0,
5,41,0,
6,41,0,
7,41,0,
8,41,0,
9,41,0,
10,41,0,
11,41,0,
12,41,0,
13,41,0,
5,45,0,
6,45,0,
7,45,0,
8,45,0,
9,45,0,
10,45,0,
11,45,0,
12,45,0,
13,45,0,
5,49,0,
6,49,0,
7,49,0,
8,49,0,
9,49,0,
10,49,0,
11,49,0,
12,49,0,
13,49,0,
5,50,0,
6,50,0,
7,50,0,
8,50,0,
9,50,0,
10,50,0,
11,50,0,
12,50,0,
13,50,0,
5,51,0,
6,51,0,
7,51,0,
8,51,0,
9,51,0,
10,51,0,
11,51,0,
12,51,0,
13,51,0,
5,52,0,
6,52,0,
7,52,0,
8,52,0,
9,52,0,
10,52,0,
11,52,0,
12,52,0,
13,52,0,
5,53,0,
6,53,0,
7,53,0,
8,53,0,
9,53,0,
10,53,0,
11,53,0,
12,53,0,
13,53,0,
5,54,0,
6,54,0,
7,54,0,
8,54,0,
9,54,0,
10,54,0,
11,54,0,
12,54,0,
13,54,0,
5,55,0,
6,55,0,
7,55,0,
8,55,0,
9,55,0,
10,55,0,
11,55,0,
12,55,0,
13,55,0,
5,56,-2,results are diffrent
6,56,-2,results are diffrent
7,56,-2,results are diffrent
8,56,-2,results are diffrent
9,56,-2,results are diffrent
10,56,-2,results are diffrent
11,56,-2,results are diffrent
12,56,-2,results are diffrent
13,56,-2,results are diffrent
5,57,0,
6,57,0,
7,57,0,
8,57,0,
9,57,0,
10,57,0,
11,57,0,
12,57,0,
13,57,0,
5,60,0,
6,60,0,
7,60,0,
8,60,0,
9,60,0,
10,60,0,
11,60,0,
12,60,0,
13,60,0,
5,61,0,
6,61,0,
7,61,0,
8,61,0,
9,61,0,
10,61,0,
11,61,0,
12,61,0,
13,61,0,
5,62,0,
6,62,0,
7,62,0,
8,62,0,
9,62,0,
10,62,0,
11,62,0,
12,62,0,
13,62,0,
5,63,0,
6,63,0,
7,63,0,
8,63,0,
9,63,0,
10,63,0,
11,63,0,
12,63,0,
13,63,0,
5,64,0,
6,64,0,
7,64,0,
8,64,0,
9,64,0,
10,64,0,
11,64,0,
12,64,0,
13,64,0,
5,65,0,
6,65,0,
7,65,0,
8,65,0,
9,65,0,
10,65,0,
11,65,0,
12,65,0,
13,65,0,
5,66,0,
6,66,0,
7,66,0,
8,66,0,
9,66,0,
10,66,0,
11,66,0,
12,66,0,
13,66,0,
5,67,0,
6,67,0,
7,67,0,
8,67,0,
9,67,0,
10,67,0,
11,67,0,
12,67,0,
13,67,0,
5,68,0,
6,68,0,
7,68,0,
8,68,0,
9,68,0,
10,68,0,
11,68,0,
12,68,0,
13,68,0,
5,77,0,
6,77,0,
7,77,0,
8,77,0,
9,77,0,
10,77,0,
11,77,0,
12,77,0,
13,77,0,
5,8,0,
6,8,0,
7,8,0,
8,8,0,
9,8,0,
10,8,0,
11,8,0,
12,8,0,
13,8,0,
5,82,0,
6,82,0,
7,82,0,
8,82,0,
9,82,0,
10,82,0,
11,82,0,
12,82,0,
13,82,0,
5,9,0,
6,9,0,
7,9,0,
8,9,0,
9,9,0,
10,9,0,
11,9,0,
12,9,0,
13,9,0,
5,98,0,
6,98,0,
7,98,0,
8,98,0,
9,98,0,
10,98,0,
11,98,0,
12,98,0,
13,98,0,
