package version,line_number,status,error message
0.1,11,-2,unknown Error
0.1,4,-2,unknown Error
0.1,7,-2,unknown Error
0.1,8,-2,unknown Error
0.1,9,-2,unknown Error
0.9.0,,-3,pip error
0.9.1,,-3,pip error
1.0.0,11,-2,has not the attribute
1.0.0,4,-2,has not the attribute
1.0.0,7,-2,has not the attribute
1.0.0,8,-2,has not the attribute
1.0.0,9,-2,has not the attribute
1.0.3,11,-2,has not the attribute
1.0.3,4,-2,has not the attribute
1.0.3,7,-2,has not the attribute
1.0.3,8,-2,has not the attribute
1.0.3,9,-2,has not the attribute
1.0.4,11,-2,has not the attribute
1.0.4,4,-2,has not the attribute
1.0.4,7,-2,has not the attribute
1.0.4,8,-2,has not the attribute
1.0.4,9,-2,has not the attribute
1.0.5,11,-2,has not the attribute
1.0.5,4,-2,has not the attribute
1.0.5,7,-2,has not the attribute
1.0.5,8,-2,has not the attribute
1.0.5,9,-2,has not the attribute
1.1.0,11,-2,unknown Error
1.1.0,4,0,
1.1.0,7,0,
1.1.0,8,0,
1.1.0,9,0,
1.1.1,11,-2,unknown Error
1.1.1,4,0,
1.1.1,7,0,
1.1.1,8,0,
1.1.1,9,0,
1.1.2,11,-2,unknown Error
1.1.2,4,0,
1.1.2,7,0,
1.1.2,8,0,
1.1.2,9,0,
1.1.3,11,-2,unknown Error
1.1.3,4,0,
1.1.3,7,0,
1.1.3,8,0,
1.1.3,9,0,
1.1.4,11,0,
1.1.4,4,0,
1.1.4,7,0,
1.1.4,8,0,
1.1.4,9,0,
1.1.5,11,0,
1.1.5,4,0,
1.1.5,7,0,
1.1.5,8,0,
1.1.5,9,0,
1.2.0,11,-1,Deprecation Warning
1.2.0,4,0,
1.2.0,7,0,
1.2.0,8,0,
1.2.0,9,0,
1.2.1,11,-1,Deprecation Warning
1.2.1,4,0,
1.2.1,7,0,
1.2.1,8,0,
1.2.1,9,0,
1.2.2,11,-1,Deprecation Warning
1.2.2,4,0,
1.2.2,7,0,
1.2.2,8,0,
1.2.2,9,0,
1.2.3,11,-1,Deprecation Warning
1.2.3,4,0,
1.2.3,7,0,
1.2.3,8,0,
1.2.3,9,0,
1.2.4,11,-1,Deprecation Warning
1.2.4,4,0,
1.2.4,7,0,
1.2.4,8,0,
1.2.4,9,0,
1.2.5,11,-1,Deprecation Warning
1.2.5,4,0,
1.2.5,7,0,
1.2.5,8,0,
1.2.5,9,0,
1.3.0,11,-1,Deprecation Warning
1.3.0,4,0,
1.3.0,7,0,
1.3.0,8,0,
1.3.0,9,0,
1.3.1,11,-1,Deprecation Warning
1.3.1,4,0,
1.3.1,7,0,
1.3.1,8,0,
1.3.1,9,0,
1.3.2,11,-1,Deprecation Warning
1.3.2,4,0,
1.3.2,7,0,
1.3.2,8,0,
1.3.2,9,0,
1.3.3,11,-1,Deprecation Warning
1.3.3,4,0,
1.3.3,7,0,
1.3.3,8,0,
1.3.3,9,0,
1.3.4,11,-1,Deprecation Warning
1.3.4,4,0,
1.3.4,7,0,
1.3.4,8,0,
1.3.4,9,0,
1.3.5,11,-1,Deprecation Warning
1.3.5,4,0,
1.3.5,7,0,
1.3.5,8,0,
1.3.5,9,0,
1.4.0,11,-1,Deprecation Warning
1.4.0,4,0,
1.4.0,7,0,
1.4.0,8,0,
1.4.0,9,0,
1.4.1,11,-1,Deprecation Warning
1.4.1,4,0,
1.4.1,7,0,
1.4.1,8,0,
1.4.1,9,0,
1.4.2,11,-1,Deprecation Warning
1.4.2,4,0,
1.4.2,7,0,
1.4.2,8,0,
1.4.2,9,0,
1.4.3,11,-1,Deprecation Warning
1.4.3,4,0,
1.4.3,7,0,
1.4.3,8,0,
1.4.3,9,0,
1.4.4,11,-1,Deprecation Warning
1.4.4,4,0,
1.4.4,7,0,
1.4.4,8,0,
1.4.4,9,0,
1.5.0,11,-1,Deprecation Warning
1.5.0,4,0,
1.5.0,7,0,
1.5.0,8,0,
1.5.0,9,0,
1.5.1,11,-1,Deprecation Warning
1.5.1,4,0,
1.5.1,7,0,
1.5.1,8,0,
1.5.1,9,0,
1.5.2,11,-1,Deprecation Warning
1.5.2,4,0,
1.5.2,7,0,
1.5.2,8,0,
1.5.2,9,0,
1.5.3,11,-1,Deprecation Warning
1.5.3,4,0,
1.5.3,7,0,
1.5.3,8,0,
1.5.3,9,0,
2.0.0,11,-2,Type Error
2.0.0,4,0,
2.0.0,7,0,
2.0.0,8,0,
2.0.0,9,0,
2.0.3,11,-2,Type Error
2.0.3,4,0,
2.0.3,7,0,
2.0.3,8,0,
2.0.3,9,0,
2.1.0,11,-2,Type Error
2.1.0,4,0,
2.1.0,7,0,
