package version,line_number,status,error message
0.10,,-3,pip error
0.12,,-3,pip error
0.14,,-3,pip error
0.14.1,,-3,pip error
0.14.2,,-3,pip error
0.14.3,,-3,pip error
0.14.4,,-3,pip error
0.16.0,,-3,pip error
0.16.1,,-3,pip error
0.16.2,,-3,pip error
0.16.3,,-3,pip error
0.16.4,,-3,pip error
0.16.5,,-3,pip error
0.18.0,,-3,pip error
0.18.1,,-3,pip error
0.18.2,,-3,pip error
0.18.3,,-3,pip error
0.18.4,,-3,pip error
0.20.0,10,-2,File Not Found Error
0.20.0,12,-2,File Not Found Error
0.20.0,13,-2,File Not Found Error
0.20.0,16,-2,File Not Found Error
0.20.0,17,-2,File Not Found Error
0.20.0,5,-2,File Not Found Error
0.20.0,6,-2,File Not Found Error
0.20.0,8,-2,File Not Found Error
0.20.0,9,-2,File Not Found Error
0.20.1,10,-2,has not the attribute
0.20.1,12,0,
0.20.1,13,-2,has not the attribute
0.20.1,16,-2,has not the attribute
0.20.1,17,0,
0.20.1,5,0,
0.20.1,6,-2,has not the attribute
0.20.1,8,0,
0.20.1,9,0,
0.20.2,10,-2,has not the attribute
0.20.2,12,0,
0.20.2,13,-2,has not the attribute
0.20.2,16,-2,has not the attribute
0.20.2,17,0,
0.20.2,5,0,
0.20.2,6,-2,has not the attribute
0.20.2,8,0,
0.20.2,9,0,
0.22.0,10,-2,has not the attribute
0.22.0,12,0,
0.22.0,13,-2,has not the attribute
0.22.0,16,-2,has not the attribute
0.22.0,17,0,
0.22.0,5,0,
0.22.0,6,-2,has not the attribute
0.22.0,8,0,
0.22.0,9,0,
0.22.1,10,-2,has not the attribute
0.22.1,12,0,
0.22.1,13,-2,has not the attribute
0.22.1,16,-2,has not the attribute
0.22.1,17,0,
0.22.1,5,0,
0.22.1,6,-2,has not the attribute
0.22.1,8,0,
0.22.1,9,0,
0.22.2,10,-2,has not the attribute
0.22.2,12,0,
0.22.2,13,-2,has not the attribute
0.22.2,16,-2,has not the attribute
0.22.2,17,0,
0.22.2,5,0,
0.22.2,6,-2,has not the attribute
0.22.2,8,0,
0.22.2,9,0,
0.24.0,10,-2,Module Not Found Error
0.24.0,12,-2,Module Not Found Error
0.24.0,13,-2,Module Not Found Error
0.24.0,16,-2,Module Not Found Error
0.24.0,17,-2,Module Not Found Error
0.24.0,5,-2,Module Not Found Error
0.24.0,6,-2,Module Not Found Error
0.24.0,8,-2,Module Not Found Error
0.24.0,9,-2,Module Not Found Error
0.24.1,10,-2,Module Not Found Error
0.24.1,12,-2,Module Not Found Error
0.24.1,13,-2,Module Not Found Error
0.24.1,16,-2,Module Not Found Error
0.24.1,17,-2,Module Not Found Error
0.24.1,5,-2,Module Not Found Error
0.24.1,6,-2,Module Not Found Error
0.24.1,8,-2,Module Not Found Error
0.24.1,9,-2,Module Not Found Error
0.24.2,10,-2,Module Not Found Error
0.24.2,12,-2,Module Not Found Error
0.24.2,13,-2,Module Not Found Error
0.24.2,16,-2,Module Not Found Error
0.24.2,17,-2,Module Not Found Error
0.24.2,5,-2,Module Not Found Error
0.24.2,6,-2,Module Not Found Error
0.24.2,8,-2,Module Not Found Error
0.24.2,9,-2,Module Not Found Error
0.24.3,10,-2,Module Not Found Error
0.24.3,12,-2,Module Not Found Error
0.24.3,13,-2,Module Not Found Error
0.24.3,16,-2,Module Not Found Error
0.24.3,17,-2,Module Not Found Error
0.24.3,5,-2,Module Not Found Error
0.24.3,6,-2,Module Not Found Error
0.24.3,8,-2,Module Not Found Error
0.24.3,9,-2,Module Not Found Error
0.24.4,10,-2,Module Not Found Error
0.24.4,12,-2,Module Not Found Error
0.24.4,13,-2,Module Not Found Error
0.24.4,16,-2,Module Not Found Error
0.24.4,17,-2,Module Not Found Error
0.24.4,5,-2,Module Not Found Error
0.24.4,6,-2,Module Not Found Error
0.24.4,8,-2,Module Not Found Error
0.24.4,9,-2,Module Not Found Error
0.24.5,10,-2,Module Not Found Error
0.24.5,12,-2,Module Not Found Error
0.24.5,13,-2,Module Not Found Error
0.24.5,16,-2,Module Not Found Error
0.24.5,17,-2,Module Not Found Error
0.24.5,5,-2,Module Not Found Error
0.24.5,6,-2,Module Not Found Error
0.24.5,8,-2,Module Not Found Error
0.24.5,9,-2,Module Not Found Error
0.24.6,10,-2,Module Not Found Error
0.24.6,12,-2,Module Not Found Error
0.24.6,13,-2,Module Not Found Error
0.24.6,16,-2,Module Not Found Error
0.24.6,17,-2,Module Not Found Error
0.24.6,5,-2,Module Not Found Error
0.24.6,6,-2,Module Not Found Error
0.24.6,8,-2,Module Not Found Error
0.24.6,9,-2,Module Not Found Error
0.7,,-3,pip error
0.8,,-3,pip error
0.9,,-3,pip error
1.0.0,10,-2,Name Error
1.0.0,12,0,
1.0.0,13,-2,Name Error
1.0.0,16,0,
1.0.0,17,0,
1.0.0,5,0,
1.0.0,6,-2,Name Error
1.0.0,8,0,
1.0.0,9,0,
1.0.1,10,-2,Name Error
1.0.1,12,0,
1.0.1,13,-2,Name Error
1.0.1,16,0,
1.0.1,17,0,
1.0.1,5,0,
1.0.1,6,-2,Name Error
1.0.1,8,0,
1.0.1,9,0,
1.0.2,10,-2,Name Error
1.0.2,12,0,
1.0.2,13,-2,Name Error
1.0.2,16,0,
1.0.2,17,0,
1.0.2,5,0,
1.0.2,6,-2,Name Error
1.0.2,8,0,
1.0.2,9,0,
1.0.3,10,-2,Name Error
1.0.3,12,0,
1.0.3,13,-2,Name Error
1.0.3,16,0,
1.0.3,17,0,
1.0.3,5,0,
1.0.3,6,-2,Name Error
1.0.3,8,0,
1.0.3,9,0,
1.0.4,10,-2,Name Error
1.0.4,12,0,
