python version,line_number,status,error message
5,11,0,
6,11,0,
7,11,0,
8,11,0,
9,11,0,
10,11,0,
11,11,0,
12,11,0,
13,11,0,
5,12,0,
6,12,0,
7,12,0,
8,12,0,
9,12,0,
10,12,0,
11,12,0,
12,12,0,
13,12,0,
5,13,0,
6,13,0,
7,13,0,
8,13,0,
9,13,0,
10,13,0,
11,13,0,
12,13,0,
13,13,0,
5,14,0,
6,14,0,
7,14,0,
8,14,0,
9,14,0,
10,14,0,
11,14,0,
12,14,0,
13,14,0,
5,16,0,
6,16,0,
7,16,0,
8,16,0,
9,16,0,
10,16,0,
11,16,0,
12,16,0,
13,16,0,
5,17,-2,results are diffrent
6,17,-2,results are diffrent
7,17,-2,results are diffrent
8,17,-2,results are diffrent
9,17,-2,results are diffrent
10,17,-2,results are diffrent
11,17,-2,results are diffrent
12,17,-2,results are diffrent
13,17,-2,results are diffrent
5,18,0,
6,18,0,
7,18,0,
8,18,0,
9,18,0,
10,18,0,
11,18,0,
12,18,0,
13,18,0,
5,20,0,
6,20,0,
7,20,0,
8,20,0,
9,20,0,
10,20,0,
11,20,0,
12,20,0,
13,20,0,
5,21,0,
6,21,0,
7,21,0,
8,21,0,
9,21,0,
10,21,0,
11,21,0,
12,21,0,
13,21,0,
5,28,0,
6,28,0,
7,28,0,
8,28,0,
9,28,0,
10,28,0,
11,28,0,
12,28,0,
13,28,0,
5,30,0,
6,30,0,
7,30,0,
8,30,0,
9,30,0,
10,30,0,
11,30,0,
12,30,0,
13,30,0,
5,31,0,
6,31,0,
7,31,0,
8,31,0,
9,31,0,
10,31,0,
11,31,0,
12,31,0,
13,31,0,
5,32,0,
6,32,0,
7,32,0,
8,32,0,
9,32,0,
10,32,0,
11,32,0,
12,32,0,
13,32,0,
5,34,0,
6,34,0,
7,34,0,
8,34,0,
9,34,0,
10,34,0,
11,34,0,
12,34,0,
13,34,0,
5,35,0,
6,35,0,
7,35,0,
8,35,0,
9,35,0,
10,35,0,
11,35,0,
12,35,0,
13,35,0,
5,36,0,
6,36,0,
7,36,0,
8,36,0,
9,36,0,
10,36,0,
11,36,0,
12,36,0,
13,36,0,
5,38,0,
6,38,0,
7,38,0,
8,38,0,
9,38,0,
10,38,0,
11,38,0,
12,38,0,
13,38,0,
5,39,-2,has not the attribute
6,39,-2,results are diffrent
7,39,-2,results are diffrent
8,39,-2,results are diffrent
9,39,-2,results are diffrent
10,39,-2,results are diffrent
11,39,-2,results are diffrent
12,39,-2,results are diffrent
13,39,-2,results are diffrent
5,40,0,
6,40,0,
7,40,0,
8,40,0,
9,40,0,
10,40,0,
11,40,0,
12,40,0,
13,40,0,
5,42,0,
6,42,0,
7,42,0,
8,42,0,
9,42,0,
10,42,0,
11,42,0,
12,42,0,
13,42,0,
5,43,0,
6,43,0,
7,43,0,
8,43,0,
9,43,0,
10,43,0,
11,43,0,
12,43,0,
13,43,0,
5,45,0,
6,45,0,
7,45,0,
8,45,0,
9,45,0,
10,45,0,
11,45,0,
12,45,0,
13,45,0,
5,46,-2,results are diffrent
6,46,-2,results are diffrent
7,46,-2,results are diffrent
8,46,-2,results are diffrent
9,46,-2,results are diffrent
10,46,-2,results are diffrent
11,46,-2,results are diffrent
12,46,-2,results are diffrent
13,46,-2,results are diffrent
5,47,0,
6,47,0,
7,47,0,
8,47,0,
9,47,0,
10,47,0,
11,47,0,
12,47,0,
13,47,0,
5,49,0,
6,49,0,
7,49,0,
8,49,0,
9,49,0,
10,49,0,
11,49,0,
12,49,0,
13,49,0,
5,5,0,
6,5,0,
7,5,0,
8,5,0,
9,5,0,
10,5,0,
11,5,0,
12,5,0,
13,5,0,
5,50,0,
6,50,0,
7,50,0,
8,50,0,
9,50,0,
10,50,0,
11,50,0,
12,50,0,
13,50,0,
5,52,0,
6,52,0,
7,52,0,
8,52,0,
9,52,0,
10,52,0,
11,52,0,
12,52,0,
13,52,0,
5,53,-2,results are diffrent
6,53,-2,results are diffrent
7,53,-2,results are diffrent
8,53,-2,results are diffrent
9,53,-2,results are diffrent
10,53,-2,results are diffrent
11,53,-2,results are diffrent
12,53,-2,results are diffrent
13,53,-2,results are diffrent
5,54,0,
6,54,0,
7,54,0,
8,54,0,
9,54,0,
10,54,0,
11,54,0,
12,54,0,
13,54,0,
5,56,0,
6,56,0,
7,56,0,
8,56,0,
9,56,0,
10,56,0,
11,56,0,
12,56,0,
13,56,0,
5,57,0,
6,57,0,
7,57,0,
8,57,0,
9,57,0,
10,57,0,
11,57,0,
12,57,0,
13,57,0,
5,59,0,
6,59,0,
7,59,0,
8,59,0,
9,59,0,
10,59,0,
11,59,0,
12,59,0,
13,59,0,
5,7,0,
6,7,0,
7,7,0,
8,7,0,
9,7,0,
10,7,0,
11,7,0,
12,7,0,
13,7,0,
5,9,0,
6,9,0,
7,9,0,
8,9,0,
9,9,0,
10,9,0,
11,9,0,
12,9,0,
13,9,0,
