python version,line_number,status,error message
5,106,-2,invalid syntax
6,106,-2,invalid syntax
7,106,-2,invalid syntax
8,106,-2,invalid syntax
9,106,-2,invalid syntax
10,106,0,
11,106,0,
12,106,0,
13,106,0,
5,114,-2,invalid syntax
6,114,-2,invalid syntax
7,114,-2,invalid syntax
8,114,-2,invalid syntax
9,114,-2,invalid syntax
10,114,0,
11,114,0,
12,114,0,
13,114,0,
5,119,-2,invalid syntax
6,119,-2,invalid syntax
7,119,-2,invalid syntax
8,119,-2,invalid syntax
9,119,-2,invalid syntax
10,119,0,
11,119,0,
12,119,0,
13,119,0,
,121,-,didnt run
,123,-,didnt run
5,148,-2,invalid syntax
6,148,-2,invalid syntax
7,148,-2,invalid syntax
8,148,-2,invalid syntax
9,148,-2,invalid syntax
10,148,0,
11,148,0,
12,148,0,
13,148,0,
5,149,-2,invalid syntax
6,149,-2,invalid syntax
7,149,-2,invalid syntax
8,149,-2,invalid syntax
9,149,-2,invalid syntax
10,149,0,
11,149,0,
12,149,0,
13,149,0,
5,158,-2,invalid syntax
6,158,-2,invalid syntax
7,158,-2,invalid syntax
8,158,-2,invalid syntax
9,158,-2,invalid syntax
10,158,0,
11,158,0,
12,158,0,
13,158,0,
5,159,-2,invalid syntax
6,159,-2,invalid syntax
7,159,-2,invalid syntax
8,159,-2,invalid syntax
9,159,-2,invalid syntax
10,159,0,
11,159,0,
12,159,0,
13,159,0,
5,169,-2,invalid syntax
6,169,-2,invalid syntax
7,169,-2,invalid syntax
8,169,-2,invalid syntax
9,169,-2,invalid syntax
10,169,-2,has not the attribute
11,169,0,
12,169,0,
13,169,0,
5,170,-2,invalid syntax
6,170,-2,invalid syntax
7,170,-2,invalid syntax
8,170,-2,invalid syntax
9,170,-2,invalid syntax
10,170,0,
11,170,0,
12,170,0,
13,170,0,
5,173,-2,invalid syntax
6,173,-2,invalid syntax
7,173,-2,invalid syntax
8,173,-2,invalid syntax
9,173,-2,invalid syntax
10,173,0,
11,173,0,
12,173,0,
13,173,0,
5,174,-2,invalid syntax
6,174,-2,invalid syntax
7,174,-2,invalid syntax
8,174,-2,invalid syntax
9,174,-2,invalid syntax
10,174,0,
11,174,0,
12,174,0,
13,174,0,
5,175,-2,invalid syntax
6,175,-2,invalid syntax
7,175,-2,invalid syntax
8,175,-2,invalid syntax
9,175,-2,invalid syntax
10,175,0,
11,175,0,
12,175,0,
13,175,0,
5,176,-2,invalid syntax
6,176,-2,invalid syntax
7,176,-2,invalid syntax
8,176,-2,invalid syntax
9,176,-2,invalid syntax
10,176,0,
11,176,0,
12,176,0,
13,176,0,
5,177,-2,invalid syntax
6,177,-2,invalid syntax
7,177,-2,invalid syntax
8,177,-2,invalid syntax
9,177,-2,invalid syntax
10,177,0,
11,177,0,
12,177,0,
13,177,0,
5,178,-2,invalid syntax
6,178,-2,invalid syntax
7,178,-2,invalid syntax
8,178,-2,invalid syntax
9,178,-2,invalid syntax
10,178,0,
11,178,0,
12,178,0,
13,178,0,
5,179,-2,invalid syntax
6,179,-2,invalid syntax
7,179,-2,invalid syntax
8,179,-2,invalid syntax
9,179,-2,invalid syntax
10,179,-2,has not the attribute
11,179,0,
12,179,0,
13,179,0,
5,29,-2,invalid syntax
6,29,-2,invalid syntax
7,29,-2,invalid syntax
8,29,-2,invalid syntax
9,29,-2,invalid syntax
10,29,0,
11,29,0,
12,29,0,
13,29,0,
5,42,-2,invalid syntax
6,42,-2,invalid syntax
7,42,-2,invalid syntax
8,42,-2,invalid syntax
9,42,-2,invalid syntax
10,42,0,
11,42,0,
12,42,0,
13,42,0,
5,43,-2,invalid syntax
6,43,-2,invalid syntax
7,43,-2,invalid syntax
8,43,-2,invalid syntax
9,43,-2,invalid syntax
10,43,0,
11,43,0,
12,43,0,
13,43,0,
5,52,-2,invalid syntax
6,52,-2,invalid syntax
7,52,-2,invalid syntax
8,52,-2,invalid syntax
9,52,-2,invalid syntax
10,52,0,
11,52,0,
12,52,0,
13,52,0,
5,53,-2,invalid syntax
6,53,-2,invalid syntax
7,53,-2,invalid syntax
8,53,-2,invalid syntax
9,53,-2,invalid syntax
10,53,0,
11,53,0,
12,53,0,
13,53,0,
5,56,-2,invalid syntax
6,56,-2,invalid syntax
7,56,-2,invalid syntax
8,56,-2,invalid syntax
9,56,-2,invalid syntax
10,56,0,
11,56,0,
12,56,0,
13,56,0,
5,57,-2,invalid syntax
6,57,-2,invalid syntax
7,57,-2,invalid syntax
8,57,-2,invalid syntax
9,57,-2,invalid syntax
10,57,0,
11,57,0,
12,57,0,
13,57,0,
5,83,-2,invalid syntax
6,83,-2,invalid syntax
7,83,-2,invalid syntax
8,83,-2,invalid syntax
9,83,-2,invalid syntax
10,83,0,
11,83,0,
12,83,0,
13,83,0,
5,90,-2,invalid syntax
6,90,-2,invalid syntax
7,90,-2,invalid syntax
8,90,-2,invalid syntax
9,90,-2,invalid syntax
10,90,0,
11,90,0,
12,90,0,
13,90,0,
5,91,-2,invalid syntax
6,91,-2,invalid syntax
7,91,-2,invalid syntax
8,91,-2,invalid syntax
9,91,-2,invalid syntax
10,91,0,
11,91,0,
12,91,0,
13,91,0,
