python version,line_number,status,error message
5,10,0,
6,10,0,
7,10,0,
8,10,0,
9,10,0,
10,10,0,
11,10,0,
12,10,0,
13,10,0,
5,13,-2,invalid syntax
6,13,0,
7,13,0,
8,13,0,
9,13,0,
10,13,0,
11,13,0,
12,13,0,
13,13,0,
5,14,-2,invalid syntax
6,14,0,
7,14,0,
8,14,0,
9,14,0,
10,14,0,
11,14,0,
12,14,0,
13,14,0,
5,20,0,
6,20,0,
7,20,0,
8,20,0,
9,20,0,
10,20,0,
11,20,0,
12,20,0,
13,20,0,
5,22,0,
6,22,0,
7,22,0,
8,22,0,
9,22,0,
10,22,0,
11,22,0,
12,22,0,
13,22,0,
5,25,0,
6,25,0,
7,25,0,
8,25,0,
9,25,0,
10,25,0,
11,25,0,
12,25,0,
13,25,0,
5,28,-2,invalid syntax
6,28,0,
7,28,0,
8,28,0,
9,28,0,
10,28,0,
11,28,0,
12,28,0,
13,28,0,
5,31,0,
6,31,0,
7,31,0,
8,31,0,
9,31,0,
10,31,0,
11,31,0,
12,31,0,
13,31,0,
5,34,-2,invalid syntax
6,34,0,
7,34,0,
8,34,0,
9,34,0,
10,34,0,
11,34,0,
12,34,0,
13,34,0,
5,37,0,
6,37,0,
7,37,0,
8,37,0,
9,37,0,
10,37,0,
11,37,0,
12,37,0,
13,37,0,
5,7,-2,results are diffrent
6,7,-2,results are diffrent
7,7,-2,results are diffrent
8,7,-2,results are diffrent
9,7,-2,results are diffrent
10,7,-2,results are diffrent
11,7,-2,results are diffrent
12,7,-2,results are diffrent
13,7,-2,results are diffrent
